facility_name,facility_type,hromada_code,hromada,oblast_name,raion_name,status,first_documented_strike,latest_documented_strike,strike_count_documented,source_url,notes
Trypilska TPP,thermal power plant,UA32120110000025177,Обухівська,Київська,Обухівський,destroyed,2024-04-11,2024-04-11,1,https://en.wikipedia.org/wiki/Trypilska_thermal_power_plant,"Centrenergo plant; confirmed fully destroyed by Shahed/Kh-69 strike 2024-04-11"
Zmiivska TPP,thermal power plant,UA63140030000091352,Зміївська,Харківська,Чугуївський,destroyed,2024-03-22,2024-03-22,1,https://english.nv.ua/russian-war/russia-strikes-zmiiv-and-trypilska-power-plants-forcing-full-shutdown-centrenergo-50559133.html,"Centrenergo plant; forced full shutdown after massive strike"
Ladyzhynska TPP,thermal power plant,UA05040130000025322,Ладижинська,Вінницька,Гайсинський,damaged,2024-03-22,2025-11-17,3,https://visitukraine.today/blog/7178/shelling-of-ukrainian-energy-facilities-what-is-known-about-ladyzhyn-burshtyn-and-dobrotvir,"DTEK plant; repeatedly targeted across 2024-2025 winter campaigns"
Burshtynska TPP,thermal power plant,UA26040070000065724,Бурштинська,Івано-Франківська,Івано-Франківський,damaged,2024-03-22,2026-02-07,4,https://www.pravda.com.ua/eng/news/2026/02/07/8019842/,"DTEK plant; hit again night of 2026-02-06/07 in large-scale western-oblast strike"
Dobrotvirska TPP,thermal power plant,UA46120130000026331,Червоноградська,Львівська,Червоноградський,damaged,2024-08-26,2026-02-07,3,https://www.pravda.com.ua/eng/news/2026/02/07/8019842/,"DTEK plant near Chervonohrad; hit again 2026-02-06/07"
Kryvorizka TPP,thermal power plant,UA12060170000091033,Криворізька,Дніпропетровська,Криворізький,damaged,2024-08-26,2025-08-01,2,https://www.energyconnects.com/news/oil/2025/november/russian-barrage-damages-key-ukrainian-thermal-power-plants/,"DTEK plant; part of repeated DTEK TPP strike series"
Vuhlehirska TPP,thermal power plant,UA14020050000019803,Світлодарська,Донецька,Бахмутський,occupied/destroyed,2022-07-01,2022-07-01,1,https://en.wikipedia.org/wiki/Vuhlehirska_power_station,"Facility fell under occupation July 2022 after heavy fighting; largest TPP in Donetsk oblast, effectively offline for government-controlled grid"
Sloviansk TPP,thermal power plant,UA14120210000056793,Слов'янська,Донецька,Краматорський,damaged/front-line,2022-06-01,2024-01-01,2,https://en.wikipedia.org/wiki/Sloviansk_thermal_power_station,"Repeatedly shelled given proximity to front line; intermittent operation"
DniproHES (Zaporizhzhia dam/HPP),hydroelectric,UA23040110000019947,Енергодарська,Запорізька,Василівський,damaged,2022-08-01,2024-11-01,3,https://www.iaea.org/newscenter/pressreleases,"Ukrhydroenergo dam/plant near occupied Enerhodar; repeated shelling near ZNPP corridor"
Kakhovka HPP / dam,hydroelectric,UA65060170000032937,Новокаховська,Херсонська,Каховський,destroyed,2023-06-06,2023-06-06,1,https://en.wikipedia.org/wiki/Destruction_of_the_Kakhovka_Dam,"Dam destroyed 2023-06-06 under Russian occupation; catastrophic downstream flooding and loss of reservoir-fed cooling/irrigation water"
Kyiv TEC-5,combined heat & power,,,Київ (city),,damaged,2024-01-01,2026-02-03,2,https://english.nv.ua/nation/russia-launches-strongest-energy-strike-of-2026-dtek-warns-of-outages-across-ukraine-50580625.html,"Kyiv city CHP plant, left-bank (Darnytskyi district); hit again 2026-02-03. Kyiv city has special administrative status and is NOT one of the 1,469 KSE hromadas, so this cannot be joined to a hromada_code — left unmatched"
Kharkiv TEC-5,combined heat & power,UA63120270000028556,Харківська,Харківська,Харківський,damaged,2022-09-01,2026-02-03,3,https://english.nv.ua/nation/russia-launches-strongest-energy-strike-of-2026-dtek-warns-of-outages-across-ukraine-50580625.html,"City's largest CHP plant; hit repeatedly incl. 2026-02-03 strike"
Odesa DTEK thermal site,thermal power plant,UA51100270000073549,Одеська,Одеська,Одеський,damaged,2024-03-01,2026-02-03,2,https://english.nv.ua/nation/russia-launches-strongest-energy-strike-of-2026-dtek-warns-of-outages-across-ukraine-50580625.html,"DTEK-operated Odesa oblast site; hit again 2026-02-03"
Dnipro thermal/CHP sites,thermal power plant,UA12020010000033698,Дніпровська,Дніпропетровська,Дніпровський,damaged,2024-01-01,2026-02-03,2,https://english.nv.ua/nation/russia-launches-strongest-energy-strike-of-2026-dtek-warns-of-outages-across-ukraine-50580625.html,"Dnipro city thermal/CHP facilities; hit again 2026-02-03"
Zaporizhzhia NPP,nuclear power plant,UA23040110000019947,Енергодарська,Запорізька,Василівський,occupied/at-risk,2022-08-01,2025-01-01,many,https://www.iaea.org/newscenter,"Occupied since March 2022; repeated shelling near site and periodic external-power-line losses; IAEA tracks incidents on ongoing basis"
Poltava oblast energy facility,substation/thermal,,,Полтавська,,damaged,2026-01-01,2026-01-01,1,https://www.yahoo.com/news/articles/russians-hit-energy-infrastructure-poltava-084428648.html,"Regional energy infrastructure hit January 2026; specific facility name not disclosed in report"
Kaniv HPP,hydroelectric,UA71080150000071745,Канівська,Черкаська,Черкаський,at-risk,,,0,https://en.wikipedia.org/wiki/Kaniv_Hydroelectric_Station,"Dnipro cascade dam; no confirmed direct strike documented as of this compilation, included as a strategic at-risk asset"
Dnister HPP/PSPP,hydroelectric,UA73040130000087963,Новодністровська,Чернівецька,Дністровський,at-risk,,,0,https://en.wikipedia.org/wiki/Dniester_Hydroelectric_Station,"Far-west pumped-storage/hydro complex; no confirmed direct strike documented as of this compilation, included as a strategic at-risk asset"
