hromada_code,hromada,oblast_name,raion_name,lat_center,lon_center,distance_to_frontline_km,currently_occupied,as_of_date
UA05020010000053508,Агрономічна,Вінницька,Вінницький,49.1927696,28.3720314,373.1,False,2026-09-09
UA05020030000031457,Вінницька,Вінницька,Вінницький,49.2320162,28.467975,372.0,False,2026-09-09
UA05020050000066991,Вороновицька,Вінницька,Вінницький,49.1117881,28.6889425,351.6,False,2026-09-09
UA05020070000010139,Гніванська,Вінницька,Вінницький,49.0933696,28.338343,366.3,False,2026-09-09
UA05020090000067118,Іллінецька,Вінницька,Вінницький,49.1136358,29.2024356,330.2,False,2026-09-09
UA05020110000052014,Липовецька,Вінницька,Вінницький,49.2296415,29.0642148,346.5,False,2026-09-09
UA05020130000056031,Літинська,Вінницька,Вінницький,49.3232593,28.0837586,397.7,False,2026-09-09
UA05020150000074651,Лука-Мелешківська,Вінницька,Вінницький,49.173946,28.495565,365.7,False,2026-09-09
UA05020170000049432,Немирівська,Вінницька,Вінницький,48.9654035,28.8430131,331.8,False,2026-09-09
UA05020190000015755,Оратівська,Вінницька,Вінницький,49.19472,29.53056,326.1,False,2026-09-09
UA05020210000033427,Погребищенська,Вінницька,Вінницький,49.4848166,29.2579157,363.8,False,2026-09-09
UA05020230000029909,Стрижавська,Вінницька,Вінницький,49.3097584,28.4730593,378.6,False,2026-09-09
UA05020250000055470,Сутисківська,Вінницька,Вінницький,49.0453739,28.418232,358.4,False,2026-09-09
UA05020270000044358,Тиврівська,Вінницька,Вінницький,49.0139727,28.507999,351.5,False,2026-09-09
UA05020290000092626,Турбівська,Вінницька,Вінницький,49.339939,28.7260729,370.3,False,2026-09-09
UA05020310000080026,Якушинецька,Вінницька,Вінницький,49.259651,28.36672,379.0,False,2026-09-09
UA05040010000022470,Бершадська,Вінницька,Гайсинський,48.36594,29.51889,248.7,False,2026-09-09
UA05040030000050131,Гайсинська,Вінницька,Гайсинський,48.8120874,29.3893874,294.6,False,2026-09-09
UA05040050000080930,Дашівська,Вінницька,Гайсинський,49.0062062,29.4416807,310.9,False,2026-09-09
UA05040070000093188,Джулинська,Вінницька,Гайсинський,48.4439535,29.7482193,245.9,False,2026-09-09
UA05040090000093950,Краснопільська,Вінницька,Гайсинський,48.797123,29.720028,280.6,False,2026-09-09
UA05040110000042036,Кунківська,Вінницька,Гайсинський,48.820564,29.268541,300.4,False,2026-09-09
UA05040130000025322,Ладижинська,Вінницька,Гайсинський,48.6810505,29.2567642,288.3,False,2026-09-09
UA05040150000077146,Ободівська,Вінницька,Гайсинський,48.38597215,29.200216904785236,265.5,False,2026-09-09
UA05040170000093514,Ольгопільська,Вінницька,Гайсинський,48.184544,29.486103,234.7,False,2026-09-09
UA05040190000039450,Райгородська,Вінницька,Гайсинський,48.875095,29.082228,313.2,False,2026-09-09
UA05040210000068217,Соболівська,Вінницька,Гайсинський,48.6148597,29.4832744,272.6,False,2026-09-09
